(15, 5, 4)
(20, 5, 0)
(16, 5, 3)
(21, 7, 4)
(25, 25, 27)
(26, 26, 28)
(24, 25, 29)
(23, 24, 28)
(23, 24, 29)
(45, 45, 47)
(44, 44, 46)
(46, 46, 48)
(15, 19, 30)
(16, 17, 22)
(21, 24, 31)
(20, 23, 30)
(20, 23, 32)
(21, 24, 33)
(19, 22, 31)
(15, 16, 21)
(16, 17, 22)
(16, 16, 24)
(17, 18, 23)
(15, 15, 23)
(212, 201, 173)
(210, 201, 172)
(215, 203, 177)
(209, 200, 171)
(213, 202, 174)
(17, 17, 17)
(16, 16, 16)
(18, 18, 18)
(12, 12, 12)
(17, 18, 22)
(8, 33, 30)
(9, 34, 31)
(8, 39, 34)
(8, 37, 33)
(7, 32, 29)
(3, 20, 27)
(6, 17, 23)
