(21, 16, 22)
(20, 15, 21)
(19, 14, 20)
(23, 18, 24)
(26, 21, 27)
(27, 22, 28)
(25, 20, 26)
(28, 23, 29)
(20, 14, 18)
(8, 6, 17)
(9, 7, 18)
(6, 4, 15)
(4, 4, 14)
(7, 5, 16)
(5, 4, 12)
(6, 5, 13)
(4, 3, 11)
(5, 4, 10)
(5, 3, 14)
(1, 1, 1)
(0, 0, 0)
(2, 0, 1)
(63, 88, 144)
(64, 89, 145)
(116, 123, 141)
(121, 129, 148)
(122, 130, 149)
(117, 124, 142)
(123, 131, 150)
(255, 255, 255)
(153, 228, 247)
(154, 229, 248)
(152, 227, 246)
(155, 230, 249)
